,abilities,attack,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
27,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",100,450,90,Mouse PokÃ©mon,120,1000000,,75,Sandslash,50.0,28,25,65,65,ground,ice,,1,0
28,"['Poison Point', 'Rivalry', 'Hustle']",47,275,235,Poison Pin PokÃ©mon,52,1059860,0.4,55,Nidoranâ,0.0,29,40,40,41,poison,,7.0,1,0
29,"['Poison Point', 'Rivalry', 'Hustle']",62,365,120,Poison Pin PokÃ©mon,67,1059860,0.8,70,Nidorina,0.0,30,55,55,56,poison,,20.0,1,0
30,"['Poison Point', 'Rivalry', 'Sheer Force']",92,505,45,Drill PokÃ©mon,87,1059860,1.3,90,Nidoqueen,0.0,31,75,85,76,poison,ground,60.0,1,0
31,"['Poison Point', 'Rivalry', 'Hustle']",57,273,235,Poison Pin PokÃ©mon,40,1059860,0.5,46,Nidoranâ,100.0,32,40,40,50,poison,,9.0,1,0
32,"['Poison Point', 'Rivalry', 'Hustle']",72,365,120,Poison Pin PokÃ©mon,57,1059860,0.9,61,Nidorino,100.0,33,55,55,65,poison,,19.5,1,0
33,"['Poison Point', 'Rivalry', 'Sheer Force']",102,505,45,Drill PokÃ©mon,77,1059860,1.4,81,Nidoking,100.0,34,85,75,85,poison,ground,62.0,1,0
34,"['Cute Charm', 'Magic Guard', 'Friend Guard']",45,323,150,Fairy PokÃ©mon,48,800000,0.6,70,Clefairy,24.6,35,60,65,35,fairy,,7.5,1,0
35,"['Cute Charm', 'Magic Guard', 'Unaware']",70,483,25,Fairy PokÃ©mon,73,800000,1.3,95,Clefable,24.6,36,95,90,60,fairy,,40.0,1,0
36,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",41,299,190,Fox PokÃ©mon,40,1000000,,38,Vulpix,24.6,37,50,65,65,fire,ice,,1,0
37,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",67,505,75,Fox PokÃ©mon,75,1000000,,73,Ninetales,24.6,38,81,100,109,fire,ice,,1,0
38,"['Cute Charm', 'Competitive', 'Friend Guard']",45,270,170,Balloon PokÃ©mon,20,800000,0.5,115,Jigglypuff,24.6,39,45,25,20,normal,fairy,5.5,1,0
39,"['Cute Charm', 'Competitive', 'Frisk']",70,435,50,Balloon PokÃ©mon,45,800000,1.0,140,Wigglytuff,24.6,40,85,50,45,normal,fairy,12.0,1,0
40,"['Inner Focus', 'Infiltrator']",45,245,255,Bat PokÃ©mon,35,1000000,0.8,40,Zubat,50.0,41,30,40,55,poison,flying,7.5,1,0
41,"['Inner Focus', 'Infiltrator']",80,455,90,Bat PokÃ©mon,70,1000000,1.6,75,Golbat,50.0,42,65,75,90,poison,flying,55.0,1,0
42,"['Chlorophyll', 'Run Away']",50,320,255,Weed PokÃ©mon,55,1059860,0.5,45,Oddish,50.0,43,75,65,30,grass,poison,5.4,1,0
43,"['Chlorophyll', 'Stench']",65,395,120,Weed PokÃ©mon,70,1059860,0.8,60,Gloom,50.0,44,85,75,40,grass,poison,8.6,1,0
44,"['Chlorophyll', 'Effect Spore']",80,490,45,Flower PokÃ©mon,85,1059860,1.2,75,Vileplume,50.0,45,110,90,50,grass,poison,18.6,1,0
45,"['Effect Spore', 'Dry Skin', 'Damp']",70,285,190,Mushroom PokÃ©mon,55,1000000,0.3,35,Paras,50.0,46,45,55,25,bug,grass,5.4,1,0
46,"['Effect Spore', 'Dry Skin', 'Damp']",95,405,75,Mushroom PokÃ©mon,80,1000000,1.0,60,Parasect,50.0,47,60,80,30,bug,grass,29.5,1,0
47,"['Compoundeyes', 'Tinted Lens', 'Run Away']",55,305,190,Insect PokÃ©mon,50,1000000,1.0,60,Venonat,50.0,48,40,55,45,bug,poison,30.0,1,0
48,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",65,450,75,Poison Moth PokÃ©mon,60,1000000,1.5,70,Venomoth,50.0,49,90,75,90,bug,poison,12.5,1,0
49,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",55,265,255,Mole PokÃ©mon,30,1000000,,10,Diglett,50.0,50,35,45,90,ground,ground,,1,0
50,"['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']",100,425,50,Mole PokÃ©mon,60,1000000,,35,Dugtrio,50.0,51,50,70,110,ground,ground,,1,0
51,"['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']",35,290,255,Scratch Cat PokÃ©mon,35,1000000,,40,Meowth,50.0,52,50,40,90,normal,dark,,1,0
52,"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']",60,440,90,Classy Cat PokÃ©mon,60,1000000,,65,Persian,50.0,53,75,65,115,normal,dark,,1,0
53,"['Damp', 'Cloud Nine', 'Swift Swim']",52,320,190,Duck PokÃ©mon,48,1000000,0.8,50,Psyduck,50.0,54,65,50,55,water,,19.6,1,0
54,"['Damp', 'Cloud Nine', 'Swift Swim']",82,500,75,Duck PokÃ©mon,78,1000000,1.7,80,Golduck,50.0,55,95,80,85,water,,76.6,1,0
55,"['Vital Spirit', 'Anger Point', 'Defiant']",80,305,190,Pig Monkey PokÃ©mon,35,1000000,0.5,40,Mankey,50.0,56,35,45,70,fighting,,28.0,1,0
56,"['Vital Spirit', 'Anger Point', 'Defiant']",105,455,75,Pig Monkey PokÃ©mon,60,1000000,1.0,65,Primeape,50.0,57,60,70,95,fighting,,32.0,1,0
57,"['Intimidate', 'Flash Fire', 'Justified']",70,350,190,Puppy PokÃ©mon,45,1250000,0.7,55,Growlithe,75.4,58,70,50,60,fire,,19.0,1,0
58,"['Intimidate', 'Flash Fire', 'Justified']",110,555,75,Legendary PokÃ©mon,80,1250000,1.9,90,Arcanine,75.4,59,100,80,95,fire,,155.0,1,0
59,"['Water Absorb', 'Damp', 'Swift Swim']",50,300,255,Tadpole PokÃ©mon,40,1059860,0.6,40,Poliwag,50.0,60,40,40,90,water,,12.4,1,0
60,"['Water Absorb', 'Damp', 'Swift Swim']",65,385,120,Tadpole PokÃ©mon,65,1059860,1.0,65,Poliwhirl,50.0,61,50,50,90,water,,20.0,1,0
61,"['Water Absorb', 'Damp', 'Swift Swim']",95,510,45,Tadpole PokÃ©mon,95,1059860,1.3,90,Poliwrath,50.0,62,70,90,70,water,fighting,54.0,1,0
62,"['Synchronize', 'Inner Focus', 'Magic Guard']",20,310,200,Psi PokÃ©mon,15,1059860,0.9,25,Abra,75.4,63,105,55,90,psychic,,19.5,1,0
63,"['Synchronize', 'Inner Focus', 'Magic Guard']",35,400,100,Psi PokÃ©mon,30,1059860,1.3,40,Kadabra,75.4,64,120,70,105,psychic,,56.5,1,0
64,"['Synchronize', 'Inner Focus', 'Magic Guard']",50,600,50,Psi PokÃ©mon,65,1059860,1.5,55,Alakazam,75.4,65,175,105,150,psychic,,48.0,1,0
65,"['Guts', 'No Guard', 'Steadfast']",80,305,180,Superpower PokÃ©mon,50,1059860,0.8,70,Machop,75.4,66,35,35,35,fighting,,19.5,1,0
66,"['Guts', 'No Guard', 'Steadfast']",100,405,90,Superpower PokÃ©mon,70,1059860,1.5,80,Machoke,75.4,67,50,60,45,fighting,,70.5,1,0
67,"['Guts', 'No Guard', 'Steadfast']",130,505,45,Superpower PokÃ©mon,80,1059860,1.6,90,Machamp,75.4,68,65,85,55,fighting,,130.0,1,0
68,"['Chlorophyll', 'Gluttony']",75,300,255,Flower PokÃ©mon,35,1059860,0.7,50,Bellsprout,50.0,69,70,30,40,grass,poison,4.0,1,0
69,"['Chlorophyll', 'Gluttony']",90,390,120,Flycatcher PokÃ©mon,50,1059860,1.0,65,Weepinbell,50.0,70,85,45,55,grass,poison,6.4,1,0
70,"['Chlorophyll', 'Gluttony']",105,490,45,Flycatcher PokÃ©mon,65,1059860,1.7,80,Victreebel,50.0,71,100,70,70,grass,poison,15.5,1,0
71,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",40,335,190,Jellyfish PokÃ©mon,35,1250000,0.9,40,Tentacool,50.0,72,50,100,70,water,poison,45.5,1,0
72,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",70,515,60,Jellyfish PokÃ©mon,65,1250000,1.6,80,Tentacruel,50.0,73,80,120,100,water,poison,55.0,1,0
73,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",80,300,255,Rock PokÃ©mon,100,1059860,,40,Geodude,50.0,74,30,30,20,rock,ground,,1,0
74,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",95,390,120,Rock PokÃ©mon,115,1059860,,55,Graveler,50.0,75,45,45,35,rock,ground,,1,0
75,"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']",120,495,45,Megaton PokÃ©mon,130,1059860,,80,Golem,50.0,76,55,65,45,rock,ground,,1,0
76,"['Run Away', 'Flash Fire', 'Flame Body']",85,410,190,Fire Horse PokÃ©mon,55,1000000,1.0,50,Ponyta,50.0,77,65,65,90,fire,,30.0,1,0
77,"['Run Away', 'Flash Fire', 'Flame Body']",100,500,60,Fire Horse PokÃ©mon,70,1000000,1.7,65,Rapidash,50.0,78,80,80,105,fire,,95.0,1,0
78,"['Oblivious', 'Own Tempo', 'Regenerator']",65,315,190,Dopey PokÃ©mon,65,1000000,1.2,90,Slowpoke,50.0,79,40,40,15,water,psychic,36.0,1,0
79,"['Oblivious', 'Own Tempo', 'Regenerator']",75,590,75,Hermit Crab PokÃ©mon,180,1000000,1.6,95,Slowbro,50.0,80,130,80,30,water,psychic,78.5,1,0
80,"['Magnet Pull', 'Sturdy', 'Analytic']",35,325,190,Magnet PokÃ©mon,70,1000000,0.3,25,Magnemite,,81,95,55,45,electric,steel,6.0,1,0
81,"['Magnet Pull', 'Sturdy', 'Analytic']",60,465,60,Magnet PokÃ©mon,95,1000000,1.0,50,Magneton,,82,120,70,70,electric,steel,60.0,1,0
82,"['Keen Eye', 'Inner Focus', 'Defiant']",90,377,45,Wild Duck PokÃ©mon,55,1000000,0.8,52,Farfetch'd,50.0,83,58,62,60,normal,flying,15.0,1,0
83,"['Run Away', 'Early Bird', 'Tangled Feet']",85,310,190,Twin Bird PokÃ©mon,45,1000000,1.4,35,Doduo,50.0,84,35,35,75,normal,flying,39.2,1,0
84,"['Run Away', 'Early Bird', 'Tangled Feet']",110,470,45,Triple Bird PokÃ©mon,70,1000000,1.8,60,Dodrio,50.0,85,60,60,110,normal,flying,85.2,1,0
85,"['Thick Fat', 'Hydration', 'Ice Body']",45,325,190,Sea Lion PokÃ©mon,55,1000000,1.1,65,Seel,50.0,86,45,70,45,water,,90.0,1,0
86,"['Thick Fat', 'Hydration', 'Ice Body']",70,475,75,Sea Lion PokÃ©mon,80,1000000,1.7,90,Dewgong,50.0,87,70,95,70,water,ice,120.0,1,0
87,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",80,325,190,Sludge PokÃ©mon,50,1000000,,80,Grimer,50.0,88,40,50,25,poison,poison,,1,0
88,"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']",105,500,75,Sludge PokÃ©mon,75,1000000,,105,Muk,50.0,89,65,100,50,poison,poison,,1,0
89,"['Shell Armor', 'Skill Link', 'Overcoat']",65,305,190,Bivalve PokÃ©mon,100,1250000,0.3,30,Shellder,50.0,90,45,25,40,water,,4.0,1,0
90,"['Shell Armor', 'Skill Link', 'Overcoat']",95,525,60,Bivalve PokÃ©mon,180,1250000,1.5,50,Cloyster,50.0,91,85,45,70,water,ice,132.5,1,0
91,['Levitate'],35,310,190,Gas PokÃ©mon,30,1059860,1.3,30,Gastly,50.0,92,100,35,80,ghost,poison,0.1,1,0
92,['Levitate'],50,405,90,Gas PokÃ©mon,45,1059860,1.6,45,Haunter,50.0,93,115,55,95,ghost,poison,0.1,1,0
93,['Cursed Body'],65,600,45,Shadow PokÃ©mon,80,1059860,1.5,60,Gengar,50.0,94,170,95,130,ghost,poison,40.5,1,0
94,"['Rock Head', 'Sturdy', 'Weak Armor']",45,385,45,Rock Snake PokÃ©mon,160,1000000,8.8,35,Onix,50.0,95,30,45,70,rock,ground,210.0,1,0
95,"['Insomnia', 'Forewarn', 'Inner Focus']",48,328,190,Hypnosis PokÃ©mon,45,1000000,1.0,60,Drowzee,50.0,96,43,90,42,psychic,,32.4,1,0
96,"['Insomnia', 'Forewarn', 'Inner Focus']",73,483,75,Hypnosis PokÃ©mon,70,1000000,1.6,85,Hypno,50.0,97,73,115,67,psychic,,75.6,1,0
97,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",105,325,225,River Crab PokÃ©mon,90,1000000,0.4,30,Krabby,50.0,98,25,25,50,water,,6.5,1,0
98,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",130,475,60,Pincer PokÃ©mon,115,1000000,1.3,55,Kingler,50.0,99,50,50,75,water,,60.0,1,0
99,"['Soundproof', 'Static', 'Aftermath']",30,330,190,Ball PokÃ©mon,50,1000000,0.5,40,Voltorb,,100,55,55,100,electric,,10.4,1,0
100,"['Soundproof', 'Static', 'Aftermath']",50,490,60,Ball PokÃ©mon,70,1000000,1.2,60,Electrode,,101,80,80,150,electric,,66.6,1,0
101,"['Chlorophyll', 'Harvest']",40,325,90,Egg PokÃ©mon,80,1250000,0.4,60,Exeggcute,50.0,102,60,45,40,grass,psychic,2.5,1,0
102,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",105,530,45,Coconut PokÃ©mon,85,1250000,,95,Exeggutor,50.0,103,125,75,45,grass,psychic,,1,0
103,"['Rock Head', 'Lightningrod', 'Battle Armor']",50,320,190,Lonely PokÃ©mon,95,1000000,0.4,50,Cubone,50.0,104,40,50,35,ground,,6.5,1,0
104,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",80,425,75,Bone Keeper PokÃ©mon,110,1000000,,60,Marowak,50.0,105,50,80,45,ground,fire,,1,0
105,"['Limber', 'Reckless', 'Unburden']",120,455,45,Kicking PokÃ©mon,53,1000000,1.5,50,Hitmonlee,100.0,106,35,110,87,fighting,,49.8,1,0
106,"['Keen Eye', 'Iron Fist', 'Inner Focus']",105,455,45,Punching PokÃ©mon,79,1000000,1.4,50,Hitmonchan,100.0,107,35,110,76,fighting,,50.2,1,0
107,"['Own Tempo', 'Oblivious', 'Cloud Nine']",55,385,45,Licking PokÃ©mon,75,1000000,1.2,90,Lickitung,50.0,108,60,75,30,normal,,65.5,1,0
108,['Levitate'],65,340,190,Poison Gas PokÃ©mon,95,1000000,0.6,40,Koffing,50.0,109,60,45,35,poison,,1.0,1,0
109,['Levitate'],90,490,60,Poison Gas PokÃ©mon,120,1000000,1.2,65,Weezing,50.0,110,85,70,60,poison,,9.5,1,0
110,"['Lightningrod', 'Rock Head', 'Reckless']",85,345,120,Spikes PokÃ©mon,95,1250000,1.0,80,Rhyhorn,50.0,111,30,30,25,ground,rock,115.0,1,0
111,"['Lightningrod', 'Rock Head', 'Reckless']",130,485,60,Drill PokÃ©mon,120,1250000,1.9,105,Rhydon,50.0,112,45,45,40,ground,rock,120.0,1,0
112,"['Natural Cure', 'Serene Grace', 'Healer']",5,450,30,Egg PokÃ©mon,5,800000,1.1,250,Chansey,0.0,113,35,105,50,normal,,34.6,1,0
113,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",55,435,45,Vine PokÃ©mon,115,1000000,1.0,65,Tangela,50.0,114,100,40,60,grass,,35.0,1,0
114,"['Early Bird', 'Scrappy', 'Inner Focus']",125,590,45,Parent PokÃ©mon,100,1000000,2.2,105,Kangaskhan,0.0,115,60,100,100,normal,,80.0,1,0
115,"['Swift Swim', 'Sniper', 'Damp']",40,295,225,Dragon PokÃ©mon,70,1000000,0.4,30,Horsea,50.0,116,70,25,60,water,,8.0,1,0
116,"['Poison Point', 'Sniper', 'Damp']",65,440,75,Dragon PokÃ©mon,95,1000000,1.2,55,Seadra,50.0,117,95,45,85,water,,25.0,1,0
117,"['Swift Swim', 'Water Veil', 'Lightningrod']",67,320,225,Goldfish PokÃ©mon,60,1000000,0.6,45,Goldeen,50.0,118,35,50,63,water,,15.0,1,0
118,"['Swift Swim', 'Water Veil', 'Lightningrod']",92,450,60,Goldfish PokÃ©mon,65,1000000,1.3,80,Seaking,50.0,119,65,80,68,water,,39.0,1,0
119,"['Illuminate', 'Natural Cure', 'Analytic']",45,340,225,Starshape PokÃ©mon,55,1250000,0.8,30,Staryu,,120,70,55,85,water,,34.5,1,0
120,"['Illuminate', 'Natural Cure', 'Analytic']",75,520,60,Mysterious PokÃ©mon,85,1250000,1.1,60,Starmie,,121,100,85,115,water,psychic,80.0,1,0
121,"['Soundproof', 'Filter', 'Technician']",45,460,45,Barrier PokÃ©mon,65,1000000,1.3,40,Mr. Mime,50.0,122,100,120,90,psychic,fairy,54.5,1,0
122,"['Swarm', 'Technician', 'Steadfast']",110,500,45,Mantis PokÃ©mon,80,1000000,1.5,70,Scyther,50.0,123,55,80,105,bug,flying,56.0,1,0
123,"['Oblivious', 'Forewarn', 'Dry Skin']",50,455,45,Humanshape PokÃ©mon,35,1000000,1.4,65,Jynx,0.0,124,115,95,95,ice,psychic,40.6,1,0
124,"['Static', 'Vital Spirit']",83,490,45,Electric PokÃ©mon,57,1000000,1.1,65,Electabuzz,75.4,125,95,85,105,electric,,30.0,1,0
125,"['Flame Body', 'Vital Spirit']",95,495,45,Spitfire PokÃ©mon,57,1000000,1.3,65,Magmar,75.4,126,100,85,93,fire,,44.5,1,0
126,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",155,600,45,Stagbeetle PokÃ©mon,120,1250000,1.5,65,Pinsir,50.0,127,65,90,105,bug,,55.0,1,0
127,"['Intimidate', 'Anger Point', 'Sheer Force']",100,490,45,Wild Bull PokÃ©mon,95,1250000,1.4,75,Tauros,100.0,128,40,70,110,normal,,88.4,1,0
128,"['Swift Swim', 'Rattled']",10,200,255,Fish PokÃ©mon,55,1250000,0.9,20,Magikarp,50.0,129,15,20,80,water,,10.0,1,0
129,"['Intimidate', 'Moxie']",155,640,45,Atrocious PokÃ©mon,109,1250000,6.5,95,Gyarados,50.0,130,70,130,81,water,flying,235.0,1,0
130,"['Water Absorb', 'Shell Armor', 'Hydration']",85,535,45,Transport PokÃ©mon,80,1250000,2.5,130,Lapras,50.0,131,85,95,60,water,ice,220.0,1,0
131,"['Limber', 'Imposter']",48,288,35,Transform PokÃ©mon,48,1000000,0.3,48,Ditto,,132,48,48,48,normal,,4.0,1,0
132,"['Run Away', 'Adaptability', 'Anticipation']",55,325,45,Evolution PokÃ©mon,50,1000000,0.3,55,Eevee,88.1,133,45,65,55,normal,,6.5,1,0
133,"['Water Absorb', 'Hydration']",65,525,45,Bubble Jet PokÃ©mon,60,1000000,1.0,130,Vaporeon,88.1,134,110,95,65,water,,29.0,1,0
134,"['Volt Absorb', 'Quick Feet']",65,525,45,Lightning PokÃ©mon,60,1000000,0.8,65,Jolteon,88.1,135,110,95,130,electric,,24.5,1,0
135,"['Flash Fire', 'Guts']",130,525,45,Flame PokÃ©mon,60,1000000,0.9,65,Flareon,88.1,136,95,110,65,fire,,25.0,1,0
136,"['Trace', 'Download', 'Analytic']",60,395,45,Virtual PokÃ©mon,70,1000000,0.8,65,Porygon,,137,85,75,40,normal,,36.5,1,0
137,"['Swift Swim', 'Shell Armor', 'Weak Armor']",40,355,45,Spiral PokÃ©mon,100,1000000,0.4,35,Omanyte,88.1,138,90,55,35,rock,water,7.5,1,0
138,"['Swift Swim', 'Shell Armor', 'Weak Armor']",60,495,45,Spiral PokÃ©mon,125,1000000,1.0,70,Omastar,88.1,139,115,70,55,rock,water,35.0,1,0
139,"['Swift Swim', 'Battle Armor', 'Weak Armor']",80,355,45,Shellfish PokÃ©mon,90,1000000,0.5,30,Kabuto,88.1,140,55,45,55,rock,water,11.5,1,0
140,"['Swift Swim', 'Battle Armor', 'Weak Armor']",115,495,45,Shellfish PokÃ©mon,105,1000000,1.3,60,Kabutops,88.1,141,65,70,80,rock,water,40.5,1,0
141,"['Rock Head', 'Pressure', 'Unnerve']",135,615,45,Fossil PokÃ©mon,85,1250000,1.8,80,Aerodactyl,88.1,142,70,95,150,rock,flying,59.0,1,0
142,"['Immunity', 'Thick Fat', 'Gluttony']",110,540,25,Sleeping PokÃ©mon,65,1250000,2.1,160,Snorlax,88.1,143,65,110,30,normal,,460.0,1,0
143,"['Pressure', 'Snow Cloak']",85,580,3,Freeze PokÃ©mon,100,1250000,1.7,90,Articuno,,144,95,125,85,ice,flying,55.4,1,1
144,"['Pressure', 'Static']",90,580,3,Electric PokÃ©mon,85,1250000,1.6,90,Zapdos,,145,125,90,100,electric,flying,52.6,1,1
145,"['Pressure', 'Flame Body']",100,580,3,Flame PokÃ©mon,90,1250000,2.0,90,Moltres,,146,125,85,90,fire,flying,60.0,1,1
146,"['Shed Skin', 'Marvel Scale']",64,300,45,Dragon PokÃ©mon,45,1250000,1.8,41,Dratini,50.0,147,50,50,50,dragon,,3.3,1,0
147,"['Shed Skin', 'Marvel Scale']",84,420,45,Dragon PokÃ©mon,65,1250000,4.0,61,Dragonair,50.0,148,70,70,70,dragon,,16.5,1,0
148,"['Inner Focus', 'Multiscale']",134,600,45,Dragon PokÃ©mon,95,1250000,2.2,91,Dragonite,50.0,149,100,100,80,dragon,flying,210.0,1,0
149,"['Pressure', 'Unnerve']",150,780,3,Genetic PokÃ©mon,70,1250000,2.0,106,Mewtwo,,150,194,120,140,psychic,,122.0,1,1
150,['Synchronize'],100,600,45,New Species PokÃ©mon,100,1059860,0.4,100,Mew,,151,100,100,100,psychic,,4.0,1,1
151,"['Overgrow', 'Leaf Guard']",49,318,45,Leaf PokÃ©mon,65,1059860,0.9,45,Chikorita,88.1,152,49,65,45,grass,,6.4,2,0
152,"['Overgrow', 'Leaf Guard']",62,405,45,Leaf PokÃ©mon,80,1059860,1.2,60,Bayleef,88.1,153,63,80,60,grass,,15.8,2,0
153,"['Overgrow', 'Leaf Guard']",82,525,45,Herb PokÃ©mon,100,1059860,1.8,80,Meganium,88.1,154,83,100,80,grass,,100.5,2,0
154,"['Blaze', 'Flash Fire']",52,309,45,Fire Mouse PokÃ©mon,43,1059860,0.5,39,Cyndaquil,88.1,155,60,50,65,fire,,7.9,2,0
155,"['Blaze', 'Flash Fire']",64,405,45,Volcano PokÃ©mon,58,1059860,0.9,58,Quilava,88.1,156,80,65,80,fire,,19.0,2,0
156,"['Blaze', 'Flash Fire']",84,534,45,Volcano PokÃ©mon,78,1059860,1.7,78,Typhlosion,88.1,157,109,85,100,fire,,79.5,2,0
